[2019/08/26 17:28:42.023] [TID:3] [MoveNextRunner.InvokeMoveNext => <RecvProc>d__23.MoveNext => ActionBase.End]: RoomChat End. DummyIndex:0, result:True, message:ok
[2019/08/26 17:28:42.023] [TID:16] [AsyncTaskMethodBuilder`1.Start => <RecvProc>d__23.MoveNext => ActionBase.End]: RoomChat End. DummyIndex:1, result:True, message:ok
[2019/08/26 17:28:42.047] [TID:3] [AsyncTaskMethodBuilder`1.Start => <RecvProc>d__23.MoveNext => ActionBase.End]: RoomLeave End. DummyIndex:1, result:True, message:ok
[2019/08/26 17:28:42.047] [TID:6] [MoveNextRunner.InvokeMoveNext => <RecvProc>d__23.MoveNext => ActionBase.End]: RoomLeave End. DummyIndex:0, result:True, message:ok
[2019/08/26 17:28:42.085] [TID:3] [MoveNextRunner.InvokeMoveNext => <RecvProc>d__23.MoveNext => ActionBase.End]: Disconnect End. DummyIndex:0, result:True, message:ok
[2019/08/26 17:28:42.109] [TID:3] [AsyncTaskMethodBuilder`1.Start => <RecvProc>d__23.MoveNext => ActionBase.End]: Disconnect End. DummyIndex:1, result:True, message:ok
[2019/08/26 17:28:43.965] [TID:11] [MoveNextRunner.InvokeMoveNext => <RecvProc>d__23.MoveNext => ActionBase.End]: Login End. DummyIndex:0, result:True, message:ok
[2019/08/26 17:28:43.965] [TID:3] [MoveNextRunner.InvokeMoveNext => <RecvProc>d__23.MoveNext => ActionBase.End]: Login End. DummyIndex:1, result:True, message:ok
[2019/08/26 17:28:43.993] [TID:10] [MoveNextRunner.InvokeMoveNext => <RecvProc>d__23.MoveNext => ActionBase.End]: RoomEnter End. DummyIndex:0, result:True, message:ok
[2019/08/26 17:28:43.993] [TID:3] [MoveNextRunner.InvokeMoveNext => <RecvProc>d__23.MoveNext => ActionBase.End]: RoomEnter End. DummyIndex:1, result:True, message:ok
[2019/08/26 17:28:44.018] [TID:4] [AsyncTaskMethodBuilder`1.Start => <RecvProc>d__23.MoveNext => ActionBase.End]: RoomChat End. DummyIndex:0, result:True, message:ok
[2019/08/26 17:28:44.018] [TID:5] [MoveNextRunner.InvokeMoveNext => <RecvProc>d__23.MoveNext => ActionBase.End]: RoomChat End. DummyIndex:1, result:True, message:ok
[2019/08/26 17:28:44.033] [TID:11] [MoveNextRunner.InvokeMoveNext => <RecvProc>d__23.MoveNext => ActionBase.End]: RoomLeave End. DummyIndex:0, result:True, message:ok
